STAND	PLOT	REPLIC	VWC	TEMP	DATE	TIME	NOTES
31	43	2	18.4	15.3	2019-09-14	14:20	
31	43	3	18.9	15.4	2019-09-14	14:20	
31	43	4	18.9	15.5	2019-09-14	14:20	
31	43	5	15.4	15.2	2019-09-14	14:20	
31	43	6	17.9	15.2	2019-09-14	14:20	
31	44	1	15.9	15.2	2019-09-14	14:22	
31	44	2	15.9	15.6	2019-09-14	14:22	
31	44	3	16.4	15.2	2019-09-14	14:22	
31	44	4	14.4	15.2	2019-09-14	14:22	
31	44	5	18.4	15.5	2019-09-14	14:22	
31	44	6	13	15.2	2019-09-14	14:22	
31	45	1	15.9	15.4	2019-09-14	14:26	
31	45	2	17.4	15.5	2019-09-14	14:26	
31	45	3	16.9	15.3	2019-09-14	14:26	
31	45	4	13	15.3	2019-09-14	14:26	
31	45	5	20.8	15.3	2019-09-14	14:26	
31	45	6	14.4	15.5	2019-09-14	14:26	
31	46	1	14.4	15.6	2019-09-14	14:28	
31	46	2	15.4	15.4	2019-09-14	14:28	
31	46	3	16.9	15.4	2019-09-14	14:28	
31	46	4	21.8	15.6	2019-09-14	14:28	
31	46	5	20.3	15.4	2019-09-14	14:28	
31	46	6	18.4	15.3	2019-09-14	14:28	
31	47	1	16.9	15.2	2019-09-14	14:32	Researchers easily distractable
31	47	2	17.4	15.6	2019-09-14	14:32	Researchers easily distractable
31	47	3	14.9	15.4	2019-09-14	14:32	Researchers easily distractable
31	47	4	16.9	15.4	2019-09-14	14:32	Researchers easily distractable
31	47	5	18.4	15.6	2019-09-14	14:32	Researchers easily distractable
31	47	6	16.9	15.3	2019-09-14	14:32	Researchers easily distractable
31	48	1	13	15.4	2019-09-14	14:34	
31	48	2	14.4	15.3	2019-09-14	14:34	
31	48	3	15.9	15.7	2019-09-14	14:34	
31	48	4	15.4	15.5	2019-09-14	14:34	
31	48	5	16.9	15.4	2019-09-14	14:34	
31	48	6	13.5	15.5	2019-09-14	14:34	
50	84	1	12	16.1	2019-09-14	15:04	
50	84	2	18.9	15.7	2019-09-14	15:04	
50	84	3	14.4	15.8	2019-09-14	15:04	
50	84	4	13.9	16.1	2019-09-14	15:04	
50	84	5	11.5	15.8	2019-09-14	15:04	
50	84	6	13	15.7	2019-09-14	15:04	
50	55	1	13	116.1	2019-09-14	15:07	
50	55	2	14.4	15.9	2019-09-14	15:07	
50	55	3	10	16	2019-09-14	15:07	
50	55	4	13.5	16.1	2019-09-14	15:07	
50	55	5	16.4	15.9	2019-09-14	15:07	
50	55	6	14.4	15.9	2019-09-14	15:07	
50	56	1	19.8	16.6	2019-09-14	15:09	
50	56	2	19.3	16.9	2019-09-14	15:09	
50	56	3	16.4	16.8	2019-09-14	15:09	
50	56	4	14.4	16.4	2019-09-14	15:09	
50	56	5	13	17	2019-09-14	15:09	
50	56	6	13.5	16.8	2019-09-14	15:09	
50	57	1	20.3	17	2019-09-14	15:11	Will stabbed a bag
50	57	2	14.4	16.5	2019-09-14	15:11	Will stabbed a bag
50	57	3	18.4	16.4	2019-09-14	15:11	Will stabbed a bag
50	57	4	26.7	16.8	2019-09-14	15:11	Will stabbed a bag
50	57	5	21.3	17.4	2019-09-14	15:11	Will stabbed a bag
50	57	6	21.8	16.5	2019-09-14	15:11	Will stabbed a bag
50	58	1	17.4	16.8	2019-09-14	15:15	
50	58	2	12.5	16.7	2019-09-14	15:15	
50	58	3	14.9	16.6	2019-09-14	15:15	
50	58	4	14.9	16.6	2019-09-14	15:15	
50	58	5	20.3	16.6	2019-09-14	15:15	
50	58	6	19.8	17	2019-09-14	15:15	
50	59	1	15.4	16.5	2019-09-14	15:17	
50	59	2	19.3	16.1	2019-09-14	15:17	
50	59	3	14.4	16	2019-09-14	15:17	
50	59	4	14.4	16	2019-09-14	15:17	
50	59	5	13.9	16.3	2019-09-14	15:17	
50	59	6	16.4	16	2019-09-14	15:17	
50	60	1	13	16	2019-09-14	15:19	
50	60	2	17.4	16.3	2019-09-14	15:19	
50	60	3	13.5	16.7	2019-09-14	15:19	
50	60	4	13	16.6	2019-09-14	15:19	
50	60	5	11	16.3	2019-09-14	15:19	
50	60	6	12.5	16.6	2019-09-14	15:19	
3	75	1	14.4	16.7	2019-09-14	15:45	
3	75	2	14.4	16.2	2019-09-14	15:45	
3	75	3	12.5	16.6	2019-09-14	15:45	
3	75	4	11	16.6	2019-09-14	15:45	
3	75	5	16.4	16.5	2019-09-14	15:45	
3	75	6	13.9	16.5	2019-09-14	15:45	
3	1	1	18.9	16.3	2019-09-14	15:47	
3	1	2	16.4	16.4	2019-09-14	15:47	
3	1	3	16.4	16.6	2019-09-14	15:47	
3	1	4	13.9	16.8	2019-09-14	15:47	
3	1	5	16.4	16.4	2019-09-14	15:47	
3	1	6	15.4	16.3	2019-09-14	15:47	
3	2	1	16.9	16.8	2019-09-14	15:48	
3	2	2	11.5	17.3	2019-09-14	15:48	
3	2	3	19.3	17.1	2019-09-14	15:48	
3	2	4	12	17	2019-09-14	15:48	
3	2	5	18.4	17	2019-09-14	15:48	
3	2	6	21.3	16.7	2019-09-14	15:48	
3	3	1	17.9	16.6	2019-09-14	15:51	
3	3	2	17.4	17	2019-09-14	15:51	
3	3	3	13.9	16.4	2019-09-14	15:51	
3	3	4	17.4	16.3	2019-09-14	15:51	
3	3	5	17.9	16.6	2019-09-14	15:51	
3	3	6	13.5	16.5	2019-09-14	15:51	
